"";"departamento";"provincia";"categoria";"pob";"cant_medios";"cant_periodistas";"pobXmedios";"pobXperiodistas"
"1";"Apóstoles";"Misiones";"1";"42249";NA;NA;NA;NA
"2";"Cainguás ";"Misiones";"1";"53403";NA;NA;NA;NA
"3";"Candelaria ";"Misiones";"1";"27040";NA;NA;NA;NA
"4";"Concepción";"Misiones";"1";"9577";NA;NA;NA;NA
"5";"General Manuel Belgrano ";"Misiones";"1";"42902";NA;NA;NA;NA
"6";"Guaraní";"Misiones";"1";"67897";"2";"10";NA;NA
"7";"Iguazú ";"Misiones";"1";"82227";"1";"2";"82227";"41113.5"
"8";"Leandro N. Alem";"Misiones";"2";"45075";"1";"5";"45075";"9015"
"9";"Libertador General San Martín";"Misiones";"1";"46561";NA;NA;NA;NA
"10";"Montecarlo";"Misiones";"3";"36745";"3";"8";"12248.33333";"4593.125"
"11";"Oberá";"Misiones";"2";"107501";"3";"15";"35833.66667";"7166.733333"
"12";"San Ignacio";"Misiones";"1";"57728";"1";"5";"57728";"11545.6"
"13";"San Javier";"Misiones";"1";"20906";NA;NA;NA;NA
"14";"San Pedro";"Misiones";"3";"31051";"3";"15";"10350.33333";"2070.066667"
"15";"25 de Mayo";"Misiones";"1";"27754";NA;NA;NA;NA
"16";"Río Grande";"Tierra del Fuego, Antártida e Islas del Atlántico Sur";"3";"66420";"11";"62";"6038.181818";"1071.290323"
"17";"Ushuaia";"Tierra del Fuego, Antártida e Islas del Atlántico Sur";"2";"53241";"4";"39";"13310.25";"1365.153846"
"18";"Calamuchita";"Córdoba";"3";"54730";"7";"26";"7818.571429";"2105"
"19";"Capital";"Córdoba";"4";"1329604";"25";"576";"53184.16";"2308.340278"
"20";"Colón ";"Córdoba";"3";"225151";"9";"24";"25016.77778";"9381.291667"
"21";"Cruz del Eje";"Córdoba";"2";"58759";"12";"24";"4896.583333";"2448.291667"
"22";"General Roca";"Córdoba";"3";"35645";"11";"25";"3240.454545";"1425.8"
"23";"General San Martín";"Córdoba";"4";"127454";"12";"84";"10621.16667";"1517.309524"
"24";"Ischilín";"Córdoba";"3";"31312";"12";"33";"2609.333333";"948.8484848000001"
"25";"Juárez Celman";"Córdoba";"3";"61078";"12";"38";"5089.833333";"1607.315789"
"26";"Marcos Juárez";"Córdoba";"4";"104205";"12";"39";"8683.75";"2671.923077"
"27";"Minas";"Córdoba";"1";"4727";"2";"4";"2363.5";"1181.75"
"28";"Pocho";"Córdoba";"1";"5380";"2";"6";"2690";"896.6666667"
"29";"Presidente Roque Sáenz Peña";"Córdoba";"2";"36282";"8";"18";"4535.25";"2015.666667"
"30";"Punilla ";"Córdoba";"4";"178401";"16";"57";"11150.0625";"3129.842105"
"31";"Río Cuarto";"Córdoba";"4";"246393";"12";"88";"20532.75";"2799.920455"
"32";"Río Primero";"Córdoba";"3";"46675";"8";"25";"5834.375";"1867"
"33";"Río Seco";"Córdoba";"1";"13242";"4";"12";"3310.5";"1103.5"
"34";"Río Segundo";"Córdoba";"3";"103718";"13";"47";"7978.307692";"2206.765957"
"35";"San Alberto";"Córdoba";"2";"37004";"6";"19";"6167.333333";"1947.578947"
"36";"San Javier";"Córdoba";"3";"53520";"7";"31";"7645.714286";"1726.451613"
"37";"San Justo";"Córdoba";"4";"206307";"12";"63";"17192.25";"3274.714286"
"38";"Santa María";"Córdoba";"4";"98188";"11";"47";"8926.181817999999";"2089.106383"
"39";"Sobremonte";"Córdoba";"1";"4591";"2";"5";"2295.5";"918.2"
"40";"Tercero Arriba";"Córdoba";"3";"109554";"13";"45";"8427.230769";"2434.533333"
"41";"Totoral ";"Córdoba";"2";"18556";"4";"7";"4639";"2650.857143"
"42";"Tulumba";"Córdoba";"2";"12673";"4";"7";"3168.25";"1810.428571"
"43";"Unión";"Córdoba";"3";"105727";"12";"35";"8810.583333";"3020.771429"
"44";"Atreucó";"La Pampa";"1";"10153";"2";"2";"5076.5";"5076.5"
"45";"Caleu Caleu";"La Pampa";"1";"2313";"2";"8";"1156.5";"289.125"
"46";"Capital";"La Pampa";"4";"105312";"7";"86";"15044.57143";"1224.55814"
"47";"Catriló";"La Pampa";"2";"7293";"3";"6";"2431";"1215.5"
"48";"Chalileo";"La Pampa";"1";"2985";"1";"2";"2985";"1492.5"
"49";"Chapaleufú";"La Pampa";"2";"11620";"5";"15";"2324";"774.6666667"
"50";"Chical Co";"La Pampa";"1";"1502";"1";"4";"1502";"375.5"
"51";"Conhelo";"La Pampa";"2";"14077";"4";"10";"3519.25";"1407.7"
"52";"Curacó";"La Pampa";"1";"1040";"0";"0";NA;NA
"53";"Guatraché";"La Pampa";"1";"8831";"3";"7";"2943.666667";"1261.571429"
"54";"Hucal";"La Pampa";"1";"7540";"1";"2";"7540";"3770"
"55";"Lihuel Calel";"La Pampa";"1";"439";"0";"0";NA;NA
"56";"Limay Mahuida";"La Pampa";"1";"503";"0";"0";NA;NA
"57";"Loventué";"La Pampa";"2";"8619";"3";"4";"2873";"2154.75"
"58";"Maracó";"La Pampa";"3";"59024";"7";"18";"8432";"3279.111111"
"59";"Puelén";"La Pampa";"1";"9468";"3";"4";"3156";"2367"
"60";"Quemú Quemú ";"La Pampa";"1";"8663";"2";"4";"4331.5";"2165.75"
"61";"Rancul ";"La Pampa";"2";"10668";"4";"8";"2667";"1333.5"
"62";"Realicó";"La Pampa";"4";"16227";"9";"23";"1803";"705.5217391"
"63";"Toay";"La Pampa";"1";"12409";"1";"4";"12409";"3102.25"
"64";"Trenel";"La Pampa";"1";"5426";"2";"6";"2713";"904.3333333"
"65";"Utracán";"La Pampa";"2";"14839";"3";"10";"4946.333333";"1483.9"
"66";"Bermejo";"Formosa";"1";"14046";"0";"0";"0";"0"
"67";"Formosa";"Formosa";"3";"234354";"19";"100";"12334.42105";"2343.54"
"68";"Laishí";"Formosa";"1";"17063";"5";"11";"3412.6";"1551.181818"
"69";"Matacos";"Formosa";"1";"14375";"0";"0";NA;NA
"70";"Patiño";"Formosa";"1";"68581";"10";"21";"6858.1";"3265.761905"
"71";"Pilagás";"Formosa";"1";"18399";"0";"0";NA;NA
"72";"Pilcomayo";"Formosa";"2";"85024";"11";"33";"7729.454545";"2576.484848"
